location,model,horizon,target_date,metric,value
AL,historical_drift,0,2024-03-16,wis,7.911120000000002
AL,historical_drift,0,2024-03-23,dev,269.71492900000004
AL,historical_drift,0,2024-03-23,wis,12.055634782608696
AL,historical_drift,0,2024-03-30,dev,110.25
AL,historical_drift,0,2024-03-30,wis,9.431861304347825
AL,historical_drift,0,2024-04-06,dev,233.2645290000001
AL,historical_drift,0,2024-04-06,wis,9.685709130434782
AL,historical_drift,0,2024-04-13,dev,87.01158400000006
AL,historical_drift,0,2024-04-13,wis,6.193654782608696
AL,historical_drift,0,2024-04-20,dev,703.416484
AL,historical_drift,0,2024-04-20,wis,16.022009999999998
AL,historical_drift,1,2023-10-14,dev,21.799561000000004
AL,historical_drift,1,2023-10-14,wis,7.562476086956521
AL,historical_drift,1,2023-10-21,dev,23.53220099999999
AL,historical_drift,1,2023-10-21,wis,6.230436086956521
AL,historical_drift,1,2023-10-28,dev,77.26409999999998
AL,historical_drift,1,2023-10-28,wis,8.354910434782608
AL,historical_drift,1,2023-11-04,dev,378.1858090000001
AL,historical_drift,1,2023-11-04,wis,13.959164347826087
AL,historical_drift,1,2023-11-11,dev,379.00302400000015
AL,historical_drift,1,2023-11-11,wis,14.821399565217392
AL,historical_drift,1,2023-11-18,dev,48.66457599999999
AL,historical_drift,1,2023-11-18,wis,10.954371304347823
AL,historical_drift,1,2023-11-25,dev,84.25404100000004
AL,historical_drift,1,2023-11-25,wis,14.065928260869564
AL,historical_drift,1,2023-12-02,dev,43.37539599999998
AL,historical_drift,1,2023-12-02,wis,14.775616521739131
AL,historical_drift,1,2023-12-09,dev,371.2943610000002
AL,historical_drift,1,2023-12-09,wis,20.480447391304345
AL,historical_drift,1,2023-12-16,dev,1205.270089000001
AL,historical_drift,1,2023-12-16,wis,33.05210869565217
AL,historical_drift,1,2023-12-23,dev,5.6169000000000215
AL,historical_drift,1,2023-12-23,wis,31.077728695652176
AL,historical_drift,1,2023-12-30,dev,6466.572224999999
AL,historical_drift,1,2023-12-30,wis,46.64023608695652
AL,historical_drift,1,2024-01-06,dev,5242.918463999999
AL,historical_drift,1,2024-01-06,wis,59.003882608695655
AL,historical_drift,1,2024-01-13,dev,47.15568900000026
AL,historical_drift,1,2024-01-13,wis,67.82973652173914
AL,historical_drift,1,2024-01-20,dev,11135.947728999998
AL,historical_drift,1,2024-01-20,wis,62.30508782608695
AL,historical_drift,1,2024-01-27,dev,37455.409156
AL,historical_drift,1,2024-01-27,wis,135.36834391304347
AL,historical_drift,1,2024-02-03,dev,7842.873600000001
AL,historical_drift,1,2024-02-03,wis,50.2066395652174
AL,historical_drift,1,2024-02-10,dev,4529.020804000001
AL,historical_drift,1,2024-02-10,wis,39.52996086956522
AL,historical_drift,1,2024-02-17,dev,54.73040399999994
AL,historical_drift,1,2024-02-17,wis,18.893967391304347
AL,historical_drift,1,2024-02-24,dev,2516.326569
AL,historical_drift,1,2024-02-24,wis,29.33583086956522
AL,historical_drift,1,2024-03-02,dev,122.69992899999995
AL,historical_drift,1,2024-03-02,wis,17.940406956521738
AL,historical_drift,1,2024-03-09,dev,27.76236100000006
AL,historical_drift,1,2024-03-09,wis,16.832225217391304
AL,historical_drift,1,2024-03-16,dev,425.0606889999999
AL,historical_drift,1,2024-03-16,wis,14.200021304347825
AL,historical_drift,1,2024-03-23,dev,352.1627560000002
AL,historical_drift,1,2024-03-23,wis,13.565089565217392
AL,historical_drift,1,2024-03-30,dev,22.905796000000013
AL,historical_drift,1,2024-03-30,wis,12.23919
AL,historical_drift,1,2024-04-06,dev,153.140625
AL,historical_drift,1,2024-04-06,wis,11.88536608695652
AL,historical_drift,1,2024-04-13,dev,317.58804100000003
AL,historical_drift,1,2024-04-13,wis,10.606676956521738
AL,historical_drift,1,2024-04-20,dev,1019.333329
AL,historical_drift,1,2024-04-20,wis,17.972885652173915
AL,historical_drift,2,2023-10-21,dev,21.325923999999983
AL,historical_drift,2,2023-10-21,wis,8.998290434782609
AL,historical_drift,2,2023-10-28,dev,51.62422500000003
AL,historical_drift,2,2023-10-28,wis,7.837074782608696
AL,historical_drift,2,2023-11-04,dev,268.238884
AL,historical_drift,2,2023-11-04,wis,11.804890869565217
AL,historical_drift,2,2023-11-11,dev,538.9362250000001
AL,historical_drift,2,2023-11-11,wis,17.365138695652178
AL,historical_drift,2,2023-11-18,dev,316.9468089999999
AL,historical_drift,2,2023-11-18,wis,16.45573695652174
AL,historical_drift,2,2023-11-25,dev,31.33760399999999
AL,historical_drift,2,2023-11-25,wis,12.519153478260868
AL,historical_drift,2,2023-12-02,dev,0.0817960000000007
AL,historical_drift,2,2023-12-02,wis,15.757058260869565
AL,historical_drift,2,2023-12-09,dev,376.321201
AL,historical_drift,2,2023-12-09,wis,18.96359260869565
AL,historical_drift,2,2023-12-16,dev,41.30632900000008
AL,historical_drift,2,2023-12-16,wis,22.21037608695652
AL,historical_drift,2,2023-12-23,dev,794.1687610000007
AL,historical_drift,2,2023-12-23,wis,34.99973869565217
AL,historical_drift,2,2023-12-30,dev,4297.589136000001
AL,historical_drift,2,2023-12-30,wis,47.45152173913044
AL,historical_drift,2,2024-01-06,dev,6485.241961000001
AL,historical_drift,2,2024-01-06,wis,48.494358695652174
AL,historical_drift,2,2024-01-13,dev,6744.022884000003
AL,historical_drift,2,2024-01-13,wis,67.87833130434784
AL,historical_drift,2,2024-01-20,dev,27276.17402499999
AL,historical_drift,2,2024-01-20,wis,111.65296913043478
AL,historical_drift,2,2024-01-27,dev,29944.572025000005
AL,historical_drift,2,2024-01-27,wis,100.0734795652174
AL,historical_drift,2,2024-02-03,dev,55159.689321
AL,historical_drift,2,2024-02-03,wis,164.17242086956523
AL,historical_drift,2,2024-02-10,dev,14964.384241000002
AL,historical_drift,2,2024-02-10,wis,70.8533491304348
AL,historical_drift,2,2024-02-17,dev,3736.021128999999
AL,historical_drift,2,2024-02-17,wis,36.00420086956522
